               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.01126,           0.0047203,            0.010071,             0.98606,             0.98177,             0.99335,              0.9795,           0.0017121,           0.0010505,          0.00058334,            0.001882,            0.001882,            0.001882
                  84,            0.012416,            0.004931,            0.011074,               0.984,             0.97477,             0.99343,             0.97401,            0.001622,           0.0010634,          0.00057942,            0.001783,            0.001783,            0.001783
                  85,            0.011521,            0.004766,            0.011075,             0.98629,             0.98525,              0.9934,             0.98004,           0.0015131,           0.0010836,          0.00060901,            0.001684,            0.001684,            0.001684
                  86,            0.011606,           0.0048032,           0.0092712,             0.97022,             0.99415,             0.99354,             0.97908,           0.0016461,            0.001027,           0.0004701,            0.001585,            0.001585,            0.001585
                  87,            0.011861,           0.0048556,           0.0098972,             0.99068,             0.97324,             0.99343,             0.97586,           0.0016618,           0.0010035,          0.00049071,            0.001486,            0.001486,            0.001486
                  88,            0.010529,            0.004545,           0.0094117,             0.96517,             0.99754,             0.99336,             0.98012,           0.0014078,          0.00095697,          0.00051544,            0.001387,            0.001387,            0.001387
                  89,                0.01,           0.0046139,           0.0088465,             0.98508,             0.97699,             0.99333,               0.982,           0.0014667,           0.0010807,          0.00061816,            0.001288,            0.001288,            0.001288
                  90,            0.011094,           0.0045354,           0.0087197,             0.98922,             0.97496,             0.99341,             0.98392,           0.0013176,          0.00096459,          0.00046266,            0.001189,            0.001189,            0.001189
                  91,             0.01023,           0.0042571,           0.0075842,             0.98919,             0.98399,             0.99346,             0.98006,           0.0013957,          0.00097428,          0.00047767,             0.00109,             0.00109,             0.00109
                  92,           0.0093544,           0.0043647,           0.0074535,             0.99254,             0.98354,             0.99335,             0.98249,           0.0013093,          0.00099685,          0.00051971,            0.000991,            0.000991,            0.000991
                  93,            0.010014,           0.0042971,            0.009623,             0.99107,             0.98348,             0.99338,             0.98622,           0.0012779,          0.00098371,          0.00054657,            0.000892,            0.000892,            0.000892
                  94,            0.009784,           0.0045604,           0.0087797,             0.99006,             0.98439,             0.99325,             0.97812,           0.0012683,          0.00097913,           0.0005505,            0.000793,            0.000793,            0.000793
                  95,            0.010857,           0.0044631,            0.008753,             0.99199,             0.98614,             0.99351,             0.98366,           0.0011926,          0.00094522,          0.00040588,            0.000694,            0.000694,            0.000694
                  96,           0.0096382,           0.0042339,           0.0085159,             0.99048,             0.98929,             0.99382,             0.98591,           0.0011315,          0.00091052,          0.00033888,            0.000595,            0.000595,            0.000595
                  97,           0.0086717,           0.0043806,           0.0078657,             0.99225,              0.9856,             0.99355,             0.98579,           0.0011522,          0.00096659,          0.00040504,            0.000496,            0.000496,            0.000496
                  98,           0.0090922,           0.0042407,           0.0091029,             0.98764,             0.99291,             0.99345,             0.98512,             0.00112,          0.00087331,          0.00045998,            0.000397,            0.000397,            0.000397
                  99,           0.0088316,           0.0042982,           0.0079985,             0.98816,             0.99397,             0.99345,             0.97918,           0.0011613,          0.00089188,          0.00044132,            0.000298,            0.000298,            0.000298
